Event,Date,Position,Finish Time,Age Grade,Course Personal Best,New Personal Best,Latitude,Longitude
Finsbury Park,18/04/2026,36,00:20:03,73.82%,No,No,51.564835,-0.106414
Mile End,11/04/2026,13,00:19:27,76.09%,Yes,No,51.518614,-0.034622
Mile End,21/03/2026,20,00:19:54,74.37%,No,No,51.518614,-0.034622
Sunny Hill,14/03/2026,9,00:21:38,68.41%,No,No,52.889794,-1.498654
Coldham’s Common,07/03/2026,63,00:24:15,61.03%,No,No,52.2073,0.154411
Finsbury Park,28/02/2026,21,00:19:30,75.90%,Yes,No,51.564835,-0.106414
Caffarella,07/02/2026,5,00:20:05,73.69%,No,No,44.521215,8.848334
Portobello,24/01/2026,10,00:20:09,73.45%,No,No,55.952863,-3.114557
Hampstead Heath,17/01/2026,70,00:23:28,63.07%,No,No,51.564149,-0.167172
Battersea,10/01/2026,289,00:23:42,62.45%,No,No,51.470793,-0.172214
Finsbury Park,03/01/2026,150,00:23:52,62.01%,No,No,51.564835,-0.106414
Coldham’s Common,01/01/2026,99,00:27:02,54.75%,No,No,52.2073,0.154411
Chichester,27/12/2025,287,00:38:27,38.49%,No,No,50.836486,-0.779172
Portobello,25/12/2025,45,00:23:06,64.07%,No,No,55.952863,-3.114557
Finsbury Park,13/12/2025,125,00:23:21,63.38%,No,No,51.564835,-0.106414
Finsbury Park,29/11/2025,67,00:21:32,68.73%,No,No,51.564835,-0.106414
Hackney Marshes,22/11/2025,79,00:24:14,61.07%,No,No,51.556497,-0.029056
Finsbury Park,01/11/2025,61,00:21:36,68.52%,No,No,51.564835,-0.106414
Hampstead Heath,25/10/2025,59,00:22:20,66.27%,No,No,51.564149,-0.167172
Finsbury Park,04/10/2025,57,00:21:49,67.84%,No,No,51.564835,-0.106414
Dulwich,27/09/2025,128,00:21:18,69.48%,No,No,51.441879,-0.084324
Finsbury Park,13/09/2025,39,00:20:57,70.64%,Yes,No,51.564835,-0.106414
Ally Pally,26/07/2025,31,00:21:13,69.76%,No,No,51.594349,-0.13064
Highbury Fields,12/07/2025,78,00:22:07,66.92%,No,No,51.551294,-0.1001
Battersea,05/07/2025,288,00:23:01,64.30%,No,No,51.470793,-0.172214
Finsbury Park,14/06/2025,155,00:24:08,61.33%,No,No,51.564835,-0.106414
Finsbury Park,07/06/2025,62,00:21:19,69.43%,Yes,No,51.564835,-0.106414
Coldham’s Common,31/05/2025,13,00:19:45,74.94%,No,No,52.2073,0.154411
Hampstead Heath,24/05/2025,41,00:21:59,67.32%,No,No,51.564149,-0.167172
Finsbury Park,10/05/2025,66,00:21:37,68.47%,Yes,No,51.564835,-0.106414
Portrush,03/05/2025,8,00:20:05,73.69%,Yes,No,55.206032,-6.654049
Endcliffe,19/04/2025,129,00:23:52,62.01%,No,No,53.371154,-1.506321
Finsbury Park,12/04/2025,65,00:22:09,66.82%,Yes,No,51.564835,-0.106414
Finsbury Park,05/04/2025,60,00:22:27,65.92%,No,No,51.564835,-0.106414
Coldham’s Common,29/03/2025,13,00:19:40,75.25%,Yes,No,52.2073,0.154411
Coldham’s Common,22/03/2025,15,00:21:00,70.48%,No,No,52.2073,0.154411
Coldham’s Common,15/03/2025,34,00:21:22,69.27%,No,No,52.2073,0.154411
Coldham’s Common,08/03/2025,73,00:23:47,62.23%,No,No,52.2073,0.154411
Coldham’s Common,22/02/2025,46,00:23:39,62.58%,No,No,52.2073,0.154411
Coldham’s Common,15/02/2025,16,00:20:57,70.64%,No,No,52.2073,0.154411
Storeys Field,01/02/2025,51,00:19:45,74.94%,No,No,52.218488,0.089193
Coldham’s Common,11/01/2025,84,00:22:54,64.63%,No,No,52.2073,0.154411
Coldham’s Common,04/01/2025,44,00:22:05,67.02%,No,No,52.2073,0.154411
Holyrood,28/12/2024,68,00:22:17,66.42%,Yes,No,55.951552,-3.175094
Portobello,25/12/2024,20,00:21:07,70.09%,No,No,55.952863,-3.114557
Storeys Field,21/12/2024,51,00:20:20,72.79%,No,No,52.218488,0.089193
Coldham’s Common,14/12/2024,7,00:19:48,74.75%,Yes,No,52.2073,0.154411
South Norwood,30/11/2024,11,00:21:31,68.78%,No,No,51.398095,-0.076822
Coldham’s Common,23/11/2024,20,00:21:05,70.20%,No,No,52.2073,0.154411
Coldham’s Common,16/11/2024,18,00:19:52,74.50%,Yes,No,52.2073,0.154411
Coldham’s Common,09/11/2024,18,00:20:12,73.27%,Yes,No,52.2073,0.154411
Coldham’s Common,02/11/2024,26,00:20:50,71.04%,No,No,52.2073,0.154411
